city,country,latitude,longitude,max temp,humidity,cloudiness,windspeed
mahibadhoo,MV,3.78,72.97,26.99,78,100,4.88
hobart,AU,-42.88,147.33,12.78,66,75,3.6
bluff,AU,-23.58,149.07,18.14,71,0,1.57
san cristobal,HN,14.68,-86.92,27.37,66,70,0.59
beruwala,LK,6.48,79.98,28.24,73,100,3.61
hovd,NO,63.83,10.7,2.22,79,0,4.1
ushuaia,AR,-54.81,-68.31,6.0,62,40,8.2
lima,PE,-12.06,-77.04,18.0,77,90,4.6
dikson,RU,73.51,80.55,-4.95,72,16,5.16
chokurdakh,RU,70.62,147.9,-6.3,89,100,5.83
kapaa,US,22.08,-159.32,28.0,74,40,5.7
gerash,IR,27.67,54.14,23.0,78,0,0.48
port elizabeth,US,39.31,-74.98,17.78,44,20,3.6
yellowknife,CA,62.45,-114.38,5.0,80,75,2.1
jamestown,AU,-33.21,138.6,12.38,78,0,3.79
saskylakh,RU,71.97,114.09,-10.92,89,27,1.57
tasiilaq,GL,65.61,-37.64,7.0,65,100,13.9
qaanaaq,GL,77.48,-69.36,-5.2,77,100,3.46
castro,CL,-42.48,-73.76,11.0,66,75,5.7
portland,US,43.66,-70.25,16.0,26,1,1.36
nauta,PE,-4.51,-73.58,30.83,56,96,0.14
liverpool,GB,53.41,-2.98,13.33,82,90,2.6
deputatskiy,RU,69.3,139.9,-12.41,87,100,1.22
cabo san lucas,MX,22.89,-109.91,33.89,70,20,5.1
provideniya,RU,64.42,-173.23,-0.94,96,100,2.33
umm lajj,SA,25.02,37.27,30.0,63,0,3.14
yulara,AU,-25.24,130.99,20.0,18,0,3.1
busselton,AU,-33.64,115.35,10.0,71,78,3.67
surt,LY,31.21,16.59,24.56,64,0,4.1
lagoa,PT,37.14,-8.45,20.0,72,0,2.6
port alfred,ZA,-33.59,26.89,16.67,94,0,1.49
la ronge,CA,55.1,-105.3,8.0,93,90,4.6
klyuchi,RU,52.25,79.17,11.68,67,8,1.92
prince rupert,CA,54.32,-130.32,13.0,76,1,3.6
norman wells,CA,65.28,-126.83,6.0,75,75,1.0
kargil,PK,34.56,76.13,1.5,56,13,2.03
ergani,TR,38.27,39.76,18.0,34,0,0.5
bilibino,RU,68.06,166.44,-12.52,94,82,3.09
torphichen,GB,55.93,-3.65,11.67,93,40,3.1
vaini,IN,15.34,74.49,23.52,94,94,0.62
rikitea,PF,-23.12,-134.97,21.4,79,100,9.42
sao joao da barra,BR,-21.64,-41.05,26.0,69,0,11.3
khatanga,RU,71.98,102.47,-8.05,89,0,4.31
muros,ES,42.77,-9.06,17.22,93,0,1.5
sterling,US,39.0,-77.4,19.0,55,90,2.6
albany,US,42.65,-73.75,15.0,41,20,3.1
te anau,NZ,-45.41,167.72,3.06,78,26,0.87
puerto ayora,EC,-0.74,-90.35,26.0,57,0,10.3
atar,MR,20.52,-13.05,35.38,9,0,1.77
tura,RU,64.27,100.22,0.38,74,65,5.43
airai,TL,-8.93,125.41,20.18,62,0,1.47
bethel,US,60.79,-161.76,3.0,93,90,4.6
chauk,MM,20.89,94.82,23.66,88,2,0.74
bubaque,GW,11.28,-15.83,27.78,76,94,3.91
grindavik,IS,63.84,-22.43,9.0,100,75,4.1
nikolskoye,RU,59.7,30.79,0.56,92,0,2.0
carnarvon,ZA,-30.97,22.13,19.41,9,0,2.82
arman,RU,59.7,150.17,-9.23,77,99,2.94
buraydah,SA,26.33,43.97,32.0,33,0,3.1
salalah,OM,17.01,54.1,27.0,78,20,1.5
mar del plata,AR,-46.43,-67.52,13.38,32,100,5.67
ormara,PK,25.21,64.64,26.11,73,71,2.0
bonavista,CA,48.65,-53.11,4.44,86,99,3.58
cape town,ZA,-33.93,18.42,15.56,82,0,1.5
avarua,CK,-21.21,-159.78,23.0,49,100,2.6
almendralejo,ES,38.68,-6.41,20.56,50,87,0.89
hue,VN,16.47,107.58,25.0,94,20,1.0
husavik,CA,50.56,-96.99,7.78,97,100,4.47
mahebourg,MU,-20.41,57.7,23.0,94,75,3.1
hithadhoo,MV,-0.6,73.08,27.68,71,100,2.38
pinega,RU,64.7,43.39,-2.88,97,87,1.86
mabaruma,GY,8.2,-59.78,26.48,92,100,1.2
ensenada,MX,31.86,-116.62,22.78,78,0,1.79
punta arenas,CL,-53.16,-70.91,9.0,57,75,6.7
clyde river,CA,70.47,-68.59,-3.0,63,20,2.1
aksarka,RU,66.56,67.8,1.72,99,100,4.78
panzhihua,CN,26.59,101.72,16.4,90,100,0.34
nabire,ID,-3.36,135.5,21.15,99,100,1.43
srednekolymsk,RU,67.46,153.71,-9.26,82,7,2.98
lebu,ET,8.96,38.73,15.0,82,75,3.1
saint-joseph,FR,43.56,6.97,18.0,87,0,2.1
hokitika,NZ,-42.72,170.96,10.31,53,0,2.24
araouane,ML,18.9,-3.53,34.68,8,0,6.48
ponta do sol,BR,-20.63,-46.0,25.24,49,23,4.43
tuktoyaktuk,CA,69.44,-133.03,3.0,93,90,9.8
lakatoro,VU,-16.11,167.42,25.89,78,100,3.64
georgiyevka,RU,52.25,40.45,8.32,91,100,8.37
kodiak,US,39.95,-94.76,22.22,64,90,4.6
presidencia roque saenz pena,AR,-26.79,-60.44,16.35,77,100,2.82
sola,TZ,-3.17,33.8,21.06,66,76,5.93
ankazoabo,MG,-22.29,44.51,20.73,58,0,1.67
longyearbyen,NO,78.22,15.63,3.0,93,75,8.7
leningradskiy,RU,69.38,178.42,1.21,96,100,13.14
cobija,BR,-11.02,-68.77,23.0,94,75,1.5
gusau,NG,12.17,6.66,25.44,78,81,3.16
nome,US,30.04,-94.42,33.0,59,75,2.6
fugen,AT,47.35,11.85,8.0,87,75,1.5
progreso,UY,-34.68,-56.22,14.0,71,0,3.6
ribeira grande,PT,38.52,-28.7,22.0,94,75,7.2
mbini,GQ,1.58,9.62,27.0,88,40,0.5
bereda,ES,43.27,-7.54,16.11,82,40,0.5
mapiri,BO,-15.31,-68.22,11.5,98,100,1.86
thompson,CA,55.74,-97.86,7.0,87,90,2.6
egvekinot,RU,66.32,-179.17,-5.94,79,95,3.77
ngong,KE,-1.37,36.65,18.0,88,75,4.1
evensk,RU,61.92,159.24,-4.32,62,4,4.13
